note_id,comment_id,create_time,ip_location_y,content,user_id_y,nickname_y,sub_comment_count,like_count_y,processed,label_h
67842492000000000b0333f5,67842679000000002101f5e3,2025/1/12 19:26,其他,Bro on 4th streaks on looking for friends can somebody be this dude's friend already,674763c0000000001d02d7e2,703,1,2,bro th streaks looking friends somebody dude friend,1
678477fb000000001703d3d0,6784840a000000002200200e,2025/1/13 3:10,广东,You are not allowed here unless you show us your cat or favorite fat cat,5ed61c1f00000000010052f8,旋风飞毛腿,891,0,allowed show cat favorite fat cat,1
678477fb000000001703d3d0,67849bf3000000001b03e887,2025/1/13 4:52,美国,Can I stay if I show cat memes? -American refugee,678414980000000008019d28,_wave_to_moon_,161,1,stay show cat memes american refugee,1
67849d1c000000000100a72d,6784a5cd0000000022009c4f,2025/1/13 0:00,美国,awwwwsome to see u coming,62066e190000000010005e43,ilayda????,0,0,awwwwsome see coming,1
67849d1c000000000100a72d,6784a6be000000002200accd,2025/1/13 0:00,美国,girl I love the effort  welcome my fellow American!,5899a23a50c4b41e12d86e49,kk.,0,9,girl love effort welcome fellow american,1
67847667000000002002df49,6784a89b0000000022008642,2025/1/13 6:33,美国,Hello from Michigan!,6768ee7b000000001801f517,mothmanisalive,51,2,hello michigan,1
67847667000000002002df49,6784b6d6000000002200c1d6,2025/1/13 6:33,其他,Welcome refugees from the Tiktok.,5fd32d220000000001008759,runner大鱼,25,2,welcome refugees tiktok,1
678477fb000000001703d3d0,6784c331000000002200b74f,2025/1/13 7:39,美国,"I have no cat.. but I have a dog, can I stay? ",65b6db54000000000d01ea44,Milo!!,270,247,cat dog stay,1
6784b27a000000002001514f,6784c411000000002200bfeb,2025/1/13 7:43,摩洛哥,from the time I installed more English options are showing up,67843bb60000000008019a99,MaLka,18,1,time installed english options showing,1
6784b27a000000002001514f,6784c4af00000000210330ca,2025/1/13 7:45,美国,I'm trying to translate since we are coming into the Chinese home. I'm just hoping it's not too rough of translation ,67843807000000000801b699,Frisco17,26,1,trying translate coming chinese home hoping rough translation,1
6784b27a000000002001514f,6784c4de000000001b037382,2025/1/13 7:46,美国,I've been translating using Ai ... also fully ready to learn Mandarin and learning about Chinese culture. a lot of nice teachers on this app! I'm having fun!,6783c935000000000801f0db,DreamsSpeakLife,55,3,translating using ai ready learn mandarin learning chinese culture lot nice teachers app fun,1
6784b27a000000002001514f,6784c52c0000000022005764,2025/1/13 7:47,美国,Thank you for having us.,6784bc5e00000000080182fb,~Kelly~,15,575,thank,1
6784c7430000000001000652,6784c82700000000220055b9,2025/1/13 0:00,其他,"Kittes, stay",5f0356c90000000001005c88,蓝脚鲣鸟,1,0,kittes stay,1
6784c7430000000001000652,6784c831000000001b039b5a,2025/1/13 0:00,其他,"，Ha ha ha, is this a baby cat? It's so cute, little",5bc4687e7a9eab000154c324,欣欣的花,2,1992,ha ha ha baby cat cute little,1
6784c7430000000001000652,6784c89d000000001b0370ce,2025/1/13 0:00,其他,Awwwww so cute  what's your kitten's name?,5bf7cc558ea35d000152a2ad,月下云景,2,1291,cute kitten name,1
6784c7430000000001000652,6784cc3d000000002200b667,2025/1/13 0:00,其他,Hey we have silly animals at home! Here you go,56fd10bfaed75802afd4cddd,Lucky&Nico的饲养员,3,1821,hey silly animals home go,1
6784c7430000000001000652,6784cd65000000001b02fdf2,2025/1/13 0:00,其他,"Cat tax accepted, you're now granted entry to RedNote",5aa1ef534eacab6a40665923,安娜Indigo,1,3958,cat tax accepted granted entry rednote,1
6784c7430000000001000652,6784ce260000000022009590,2025/1/13 0:00,其他,let's say byebye to mummy,5c41ecdb00000000050130c2,柒月,1,8533,let say byebye mummy,1
67847667000000002002df49,6784d03600000000220035ca,2025/1/13 9:20,其他,Hello from Chongqing China,6680c056000000000b0322ca,??????,16,3,hello chongqing china,1
6784c7430000000001000652,6784d308000000002102ed7f,2025/1/13 0:00,其他,Heyy!!,64c6ec8b000000000e0259ea,萨贾,3,2,heyy,1
6784c7430000000001000652,6784d50e0000000021033a5e,2025/1/13 0:00,美国,NO foreigners is ALLOWED to be here UNLESS Ive petted ur cat,5e3d28740000000001002964,Ari,2,1,foreigners allowed ive petted ur cat,
6784c7430000000001000652,6784d618000000002200d0bd,2025/1/13 0:00,其他,sleepy but hiiiiiii??,5b7d28736f77280001c8392d,Vanessa4_,1,1,sleepy hiiiiiii,
6784a97f0000000001000bf8,6784e17e000000002200bf55,2025/1/13 9:20,美国,It's #1 here in Canada too.,675bf9240000000018037c40,Boy,3,2,canada,
6784d05300000000010016c6,6784f5a1000000002102d0c3,2025/1/13 11:14,四川,mine,5e3e3e190000000001004a04,Dee,377,3,mine,
6784d05300000000010016c6,6784fe38000000002103d2b5,2025/1/13 11:51,山东,hi i am your Chinese spy,628d7a9c0000000021026cc9,lotus land,64,118,hi chinese spy,
6784c7430000000001000652,6784ff70000000002101bd67,2025/1/13 0:00,其他,how old is your cat,5b3f5ae811be102445419e65,男人的爹,2,1,old cat,
6784e3e8000000001703bbe3,6784ffdc00000000210336d9,2025/1/13 12:06,美国,time to learn mandarin ,6745bd3f000000001d02eae6,microplasticsenjoyer,22,2,time mandarin,
67849d1c000000000100a72d,67850166000000001a00cae3,2025/1/13 0:00,其他,So…… Can anyone teach me English？  I really need a Learning partner,620384f40000000021027231,王怼怼,5,1,anyone teach english need learning partner,
6784e3e8000000001703bbe3,678505800000000020038294,2025/1/13 12:06,美国,I'm so glad some of the people here are so welcoming ????,6784fc8a000000000803c1f2,sauz,12,217,glad people welcoming,
6784a97f0000000001000bf8,67850676000000002200234b,2025/1/13 12:06,美国,We discovered this place quicker than Christopher Columbus ??,6784a801000000000803de80,Treasure,27,3388,discovered place quicker christopher columbus,
6784a97f0000000001000bf8,67850aa3000000002102e850,2025/1/13 12:06,美国,I'm from the uk but I have such bad fomo that I had to come with ,6784b48c000000000803d3c9,First Daughter#,67,1349,uk bad fomo come,
